id,distance_metric,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
1,euclidean,one_hot,standard,0.029222588884950964,0.021717827314907432,0.9722363052054548,0.0,0.9722363044949942,0.14090577231076473,0.09327673106092202,0.8816580623395575,0.04776548938747383,0.8816578487999532,0.14043864690877253,0.09071425591557213,0.8828812793624286,0.04762553636885747,0.8828799128703937,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_standard_one_hot_B0_v1\k1_distance_euclidean_standard_one_hot_B0_v1.joblib,3204.087971687317,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k1_distance_euclidean_standard_one_hot_B0_v1
1,manhattan,one_hot,standard,0.029222588884950964,0.021717827314907432,0.9722363052054548,0.0,0.9722363044949942,0.14030981201671558,0.09170347111643004,0.8837017260478521,0.04768274669775241,0.8837012811802377,0.1398070984199908,0.08920970126505301,0.8848371853857193,0.04754792464096025,0.8848352288025106,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v1\k1_distance_manhattan_standard_one_hot_B0_v1.joblib,3683.483598709105,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k1_distance_manhattan_standard_one_hot_B0_v1
13,euclidean,one_hot,standard,0.025783879755504103,0.010824041073493608,0.9859564117069016,0.0,0.9859564102501788,0.11971117886603748,0.06461725290417528,0.9141986928764692,0.04242977854357238,0.9141956378203382,0.11935812813320533,0.06323521173743897,0.9155476679438816,0.042612596841032635,0.9155475169804468,E:\ML_Models_EXFOR\KNN_B0\k13_distance_euclidean_standard_one_hot_B0_v1\k13_distance_euclidean_standard_one_hot_B0_v1.joblib,3842.4790544509888,E:\ML_Models_EXFOR\KNN_B0\k13_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k13_distance_euclidean_standard_one_hot_B0_v1
9,euclidean,one_hot,standard,0.025881786519938388,0.010963820247209821,0.9857704014821759,0.0,0.9857704010383872,0.118555576418676,0.06392843750089057,0.9151777680734706,0.041514786229985,0.9151776254224906,0.11858034995694182,0.06298419606252485,0.916367465337335,0.0415611292885586,0.9163674644572904,E:\ML_Models_EXFOR\KNN_B0\k9_distance_euclidean_standard_one_hot_B0_v1\k9_distance_euclidean_standard_one_hot_B0_v1.joblib,5248.4734456539145,E:\ML_Models_EXFOR\KNN_B0\k9_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k9_distance_euclidean_standard_one_hot_B0_v1
5,euclidean,one_hot,standard,0.02608704995673137,0.011288298128755966,0.9853749005680278,0.0,0.9853749005570406,0.12031502363822882,0.06574830208971075,0.913348987078608,0.041443317526561774,0.9133489723286184,0.11926799687898325,0.06452251214502329,0.9135515256514628,0.04124680694058691,0.9135515047281506,E:\ML_Models_EXFOR\KNN_B0\k5_distance_euclidean_standard_one_hot_B0_v1\k5_distance_euclidean_standard_one_hot_B0_v1.joblib,4999.680279493332,E:\ML_Models_EXFOR\KNN_B0\k5_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k5_distance_euclidean_standard_one_hot_B0_v1
17,euclidean,one_hot,standard,0.025822854150864667,0.010850450779293466,0.985931875687718,0.0,0.9859318740152117,0.1194328551595258,0.06375151970855346,0.9138804728353556,0.04301599635269282,0.91387934446371,0.12024062329094788,0.06516518385850555,0.9121350040347675,0.043096013983518366,0.912134706885592,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_standard_one_hot_B0_v1\k17_distance_euclidean_standard_one_hot_B0_v1.joblib,5206.610993623734,E:\ML_Models_EXFOR\KNN_B0\k17_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k17_distance_euclidean_standard_one_hot_B0_v1
2,euclidean,one_hot,standard,0.027640340001528558,0.013688807947528343,0.9823200299827416,0.0,0.9823200248420398,0.12648122191935562,0.07607194554248081,0.9011999811164572,0.04186663306448929,0.9011999154439899,0.12631337489706468,0.07406673745271036,0.9021582879143644,0.04204693555634875,0.9021575265817678,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_standard_one_hot_B0_v1\k2_distance_euclidean_standard_one_hot_B0_v1.joblib,5841.359679222107,E:\ML_Models_EXFOR\KNN_B0\k2_distance_euclidean_standard_one_hot_B0_v1\scaler.pkl,k2_distance_euclidean_standard_one_hot_B0_v1
13,manhattan,one_hot,standard,0.025783879755504103,0.010824041073493608,0.9859564117069016,0.0,0.9859564102501788,0.11835315963208486,0.06278107600818411,0.9167265281176034,0.04211839666599696,0.9167242966349979,0.11796974623017385,0.06133360654675251,0.9181578664045322,0.04226432990677553,0.9181577812657018,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v1\k13_distance_manhattan_standard_one_hot_B0_v1.joblib,4696.615756750107,E:\ML_Models_EXFOR\KNN_B0\k13_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k13_distance_manhattan_standard_one_hot_B0_v1
5,manhattan,one_hot,standard,0.026087049956731376,0.011288298128755966,0.9853749005680278,0.0,0.9853749005570406,0.1191587289031358,0.06388926374912715,0.9158685391785196,0.041205949021388334,0.9158685303989664,0.11842264157319082,0.06351822251090489,0.9149480002261556,0.04106400082195438,0.9149478847157112,E:\ML_Models_EXFOR\KNN_B0\k5_distance_manhattan_standard_one_hot_B0_v1\k5_distance_manhattan_standard_one_hot_B0_v1.joblib,4958.287327289581,E:\ML_Models_EXFOR\KNN_B0\k5_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k5_distance_manhattan_standard_one_hot_B0_v1
9,manhattan,one_hot,standard,0.02588178651993839,0.010963820247209821,0.9857704014821759,0.0,0.9857704010383872,0.11734007450429608,0.06201666162151631,0.9178004387460692,0.04127063317258019,0.9178004270242884,0.11737705555401046,0.06149690255993904,0.9184328419422699,0.0412565650044413,0.9184328009802796,E:\ML_Models_EXFOR\KNN_B0\k9_distance_manhattan_standard_one_hot_B0_v1\k9_distance_manhattan_standard_one_hot_B0_v1.joblib,5361.724394321443,E:\ML_Models_EXFOR\KNN_B0\k9_distance_manhattan_standard_one_hot_B0_v1\scaler.pkl,k9_distance_manhattan_standard_one_hot_B0_v1
